
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_TILE_LINK_RECURSIVE_INTERCONNECT_1, 7, 323, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_CROSSBAR_1, 7, 323, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_CLIENT_UNCACHED_TILE_LINK_IO_ROUTER_1, 7, 323, 2, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	. PROC_SUBSYSTEM_CORERISCV_AXI4_0_CORERISCV_AXI4_LOCKING_RR_ARBITER_7, 7, 310, 2, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CORESYSSERVICES_PF_0_CORESYSSERVICES_PF_Z14, 380, 373, 42, 0, 0, 0, 0, 0, 0
.	.	.	. CoreSysServices_PF_APBS_Z12, 240, 165, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreSysServices_PF_Ctrl_Z13, 140, 208, 42, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreSysServices_PF_MBXIF, 58, 105, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreSysServices_PF_ReqArbiter, 9, 15, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreSysServices_PF_SSIIF, 23, 11, 0, 0, 0, 0, 0, 0, 0
.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_CoreUARTapb_Z15, 114, 146, 19, 0, 0, 0, 0, 0, 0
.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_COREUART_0s_0s_0s_26s_0s_0s, 90, 119, 19, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Clock_gen_0s_0s, 19, 10, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Rx_async_0s_0s_0s_1s_2s_3s, 41, 81, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. PROC_SUBSYSTEM_CoreUARTapb_0_Tx_async_0s_0s_0s_1s_2s_3s_4s_5s_6s, 21, 23, 5, 0, 0, 0, 0, 0, 0
.	.	. lsram, 75, 70, 0, 0, 0, 512, 0, 0, 0
.	.	.	. lsram_COREAHBLSRAM_PF_0_COREAHBLSRAM_PF_26s_262144s_0s_0s_18_32s_32s, 75, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. lsram_COREAHBLSRAM_PF_0_CoreAHBLSRAM_AHBLSramIf_Z16, 75, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	. lsram_PF_TPSRAM_AHB_AXI_0_PF_TPSRAM, 0, 22, 0, 0, 0, 512, 0, 0, 0
.	. RISCV_TOP_PF_CCC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. led_blink, 27, 1, 27, 0, 0, 0, 0, 0, 0
.	. reset_synchronizer, 4, 1, 0, 0, 0, 0, 0, 1, 0
